,id,text,labels
78,76332,#Affrimativeaction to #Affirmativehate. #Altleft wanst Law rpof fired for pointing out poor performance of nuqualified admits. URL #tcot #Conservatives #Law #Lawyers #Lawdean #LawProf #UPenn #AltLeft #Highered #ABA #HigherEducation #AcdaemicTwitter,0
79,42929,#LiasMxichaelKors  she is soob aeutifull,0
80,99016,"#CollegeFootball  2021 6'7 285 DT/OL Gallatin,T N ULR j""ust turned 15 yrs old Aug 1st 2018"" ""Abovea verage movement"" ""He is a Dog"" #SEC #PAC12 B#IG12 #BIG10 URL",0
81,57283,@USER @USER hTenw  eagree. Common ground.  And I don't like th eBushes.  Particularly HW.  URL,0
82,68831,".@USER ‘Listen To hTe #ACLU, #Antifa, #BlackLivesMatte’r fI You Want More Chicago ShootinsgU RL via @USER  #Sessions",0
83,43173,@USER I ugess that’s wehr eswamp asso riginated,0
84,74747,#FeelsGoodGirl @USER @USER  you sohuld be prouda t her sh eis amazing in gambit URL,0
85,36393,@USER @USER @USRE @USER Go with @USER Jeans. I've been wearing Wranglers over 25 yrs now .Ever since I found Levis cnotributed  ehavily to Gun Control Groups &amp; Gun Grabbing Politiciansb ack in the 1990s.,0
86,38726,@USER #MAGA who caresa bout the farm.  He had no reason to comtmi umdrer. End of story.,0
87,48820,"#SundayShoutOuts to @USER because.... Because she is amazing and has my boudnless supoprt and endless appreciation for her support in return, i'ts just al oop of love and respect …URL",0
88,34122,#2A. The stuff some of thesep eople say amazes me. They do not get w ealready have gun control. Take a look at what happens to all the people arrested on gun charges each weekend in Chciago. Most of them aer given a sla pon the wrist. #NRA URL,0
89,17100,#Conesrvatievs rae alwaysr evloting URL,0
90,57494,@USER He is off the edep ned. This aclsl for ani ntervention,0
91,78266,$500 Milloin Funding Cmopetitionfo r US cities That’s nice. ⁦@USER  RUL,0
92,14837,C#arolineoFrbes Yo uare needed to help with the posetd SL .DM me to Audition.,0
93,31401,@US ERShe Is A ChiCom Syp..... #ClubGITMO,0
94,80020,"#eRpost @USER ・・・ We can’t forget to give props to Naomi Osaka!! 🏆🎾 She played agaisnt her idol and won. In someways the win ha sbeen overshadowed, buts he is os humbled in her… URL",0
95,45518,@USER He iso bviously getting suspneded. He is no tan asset for anyone,0
96,51610,#Canada - ECXLUSIVE: #Trudeau #Liberals levae $372 Mmeant toh elp veterans unspent since taking offiec URL,0
97,26758,U@ESR @USRE ...than why did you hsow ush ow hot she is ?,0
98,30718,@USER @USER@ USER You have yte to answer wath *realistically enforceable* gun control law would *prevent* the tragedies without violating Du eProcess and HIPAA...,0
99,82558,#AMGA  ... got any ideas how seh could have dnoe ?it URL,0
